owner_id,name,team_id
1,Tony Ressler,1
2,Wyc Grousbeck,2
3,Joseph Tsai,3
4,Michael Jordan,4
5,Jerry Reinsdorf,5
6,Dan Gilbert,6
7,Mark Cuban,7
8,Ann Walton Kroenke,8
9,Tom Gores,9
10,Joseph Steven Lacob,10
11,Tilman Joseph Fertitta,11
12,Herbert Simon,12
13,Steve Ballmer,13
14,Jeanie Marie Buss,14
15,Robert J. Pera,15
16,Micky Arison,16
17,Wesley Edens,17
18,Glen Taylor,18
19,Gayle Benson,19
20,James Dolan,20
21,Clay Bennett,21
22,Dan DeVos,22
23,Joshua Harris,23
24,Robert Sarver,24
25,Paul Allen,25
26,Vivek Ranadiv,26
27,Peter Holt,27
28,Larry Tanenbaum,28
29,Gail Miller,29
30,Ted Leonsis,30
