player_id,game_id,points,rebounds,assists,blocks,steals
1,1,35,12,3,0,1
2,1,3,3,12,1,3
3,1,20,3,4,0,1
4,1,16,7,1,0,1
5,1,9,9,1,1,0
6,1,20,15,3,1,0
7,1,17,5,2,1,1
8,1,16,3,4,0,1
9,1,12,3,2,1,1
10,1,6,6,1,0,0
11,2,22,9,5,2,0
12,2,22,8,2,0,2
13,2,23,8,4,0,1
14,2,6,3,0,0,0
15,2,0,3,0,0,2
2,2,5,8,13,0,2
4,2,23,3,0,0,1
5,2,14,17,0,3,0
1,2,22,6,4,0,3
16,2,3,2,2,0,0
17,3,21,14,2,2,1
18,3,23,5,10,0,2
19,3,5,3,3,0,1
20,3,0,1,1,0,1
21,3,0,1,0,1,0
1,3,30,7,3,2,1
2,3,11,7,10,0,3
5,3,11,9,0,1,0
4,3,9,3,0,0,0
16,3,2,0,2,0,0
22,4,29,7,8,1,3
23,4,9,4,2,1,0
12,4,33,14,5,2,2
24,4,5,1,0,0,1
25,4,3,2,0,0,0
26,4,20,2,3,0,1
27,4,6,2,7,1,5
28,4,17,13,3,1,1
29,4,10,11,2,1,0
30,4,7,7,0,0,0
5,5,10,9,0,0,1
6,5,19,7,1,1,0
31,5,8,6,3,0,3
32,5,13,5,1,1,1
33,5,8,6,1,0,1
13,5,20,9,8,2,5
11,5,22,5,5,0,2
12,5,25,8,0,1,1
22,5,8,2,3,0,2
25,5,0,6,0,5,0
13,6,21,6,6,0,2
11,6,20,7,2,0,2
12,6,19,4,0,0,0
22,6,1,3,2,0,0
34,6,2,1,1,1,0
35,6,17,3,1,0,3
36,6,10,9,2,3,1
37,6,15,1,4,0,3
38,6,15,5,1,1,0
39,6,4,2,0,0,0
40,7,16,1,2,0,1
41,7,10,15,4,0,4
42,7,16,1,7,0,1
43,7,12,5,1,0,1
44,7,13,5,1,0,0
13,7,30,6,5,1,0
12,7,23,7,1,1,0
11,7,18,7,4,2,1
22,7,4,4,3,0,3
23,7,9,2,1,0,1
13,8,36,8,11,0,1
