player_id,season,avg_points,avg_rebounds,avg_assists,avg_blocks,avg_steals
1,2011,23,7,2.6,0.6,0.5
1,2012,21.6,6.7,2.2,0.5,0.7
1,2013,17.3,6.8,2.5,0.7,0.7
1,2014,21.7,6.2,2.7,0.6,0.9
1,2015,17.3,5.9,1.9,0.4,0.5
1,2016,18.3,6.5,1.8,0.7,0.7
1,2017,14.2,6.5,1.5,0.7,0.6
1,2018,12,5.7,1.6,0.6,0.6
1,2019,7.3,3.1,0.7,0.4,0.2
2,2011,7.9,4.4,8.2,0.4,1.7
2,2012,6.2,4.1,5.5,0.2,1.7
2,2013,6,4.3,3.3,0.3,1.6
3,2011,15.8,1.9,4.1,0.2,1.1
3,2012,15.1,2.4,3.6,0.2,1.2
3,2013,10.1,2,2.5,0.1,0.8
3,2014,4.5,1.1,1.6,0,0.4
3,2015,7,1.6,1.9,0.2,0.9
3,2016,5.9,1.1,1.4,0.1,0.7
3,2017,4.1,1.4,1.3,0.3,0.6
3,2018,3.3,0.9,1.2,0.3,0.8
4,2011,15,4.1,1.6,0.3,1
4,2012,12,3.7,1.2,0.1,0.8
4,2013,10.4,2.9,1,0.1,0.7
4,2014,10.5,4.1,1.5,0.3,0.8
4,2015,5.9,2.5,1,0.1,0.6
4,2016,3.7,1.3,0.6,0.1,0.5
5,2011,10.1,9.4,0.4,1.1,0.5
5,2012,11.3,9.9,0.9,1.4,0.9
5,2013,10.4,10.7,0.9,1.1,0.6
5,2014,8.7,9.6,1.1,1.1,0.7
5,2015,10.3,11.5,1.1,1.2,0.6
5,2016,7.2,8.7,1,0.7,0.5
5,2017,8.4,11.5,0.6,0.5,0.7
5,2018,6.5,9.1,1.2,0.6,0.3
5,2019,3.1,5.6,0.7,0.4,0.4
5,2020,1.3,2.5,0.2,0.3,0.2
6,2011,25.6,7.3,2.9,0.6,0.9
6,2012,22.6,6.3,3.6,0.4,1.1
6,2013,28.7,6.9,2.6,0.5,0.8
6,2014,27.4,8.1,3.1,0.7,1.2
6,2015,24.2,6.6,3.1,0.4,1
6,2016,21.8,7.7,4.2,0.5,0.9
6,2017,22.4,5.9,2.9,0.5,0.8
6,2018,16.2,5.8,1.3,0.6,0.6
6,2019,13.4,5.4,0.5,0.7,0.4
