player_id,award,season
172,MVP,2011
13,MVP,2012
13,MVP,2013
119,MVP,2014
87,MVP,2015
87,MVP,2016
121,MVP,2017
75,MVP,2018
173,MVP,2019
173,MVP,2020
178,Rookie of the year,2011
110,Rookie of the year,2012
68,Rookie of the year,2013
177,Rookie of the year,2014
176,Rookie of the year,2015
175,Rookie of the year,2016
169,Rookie of the year,2017
149,Rookie of the year,2018
160,Rookie of the year,2019
174,Rookie of the year,2020
76,Defensive player of the year,2011
5,Defensive player of the year,2012
36,Defensive player of the year,2013
179,Defensive player of the year,2014
57,Defensive player of the year,2015
57,Defensive player of the year,2016
86,Defensive player of the year,2017
180,Defensive player of the year,2018
180,Defensive player of the year,2019
173,Defensive player of the year,2020
181,Sixth man of the year,2011
75,Sixth man of the year,2012
97,Sixth man of the year,2013
182,Sixth man of the year,2014
184,Sixth man of the year,2015
182,Sixth man of the year,2016
183,Sixth man of the year,2017
184,Sixth man of the year,2018
184,Sixth man of the year,2019
185,Sixth man of the year,2020
1,FMVP,2011
13,FMVP,2012
13,FMVP,2013
57,FMVP,2014
142,FMVP,2015
13,FMVP,2016
119,FMVP,2017
119,FMVP,2018
57,FMVP,2019
13,FMVP,2020
186,All-star MVP,2011
119,All-star MVP,2012
106,All-star MVP,2013
110,All-star MVP,2014
121,All-star MVP,2015
121,All-star MVP,2016
133,All-star MVP,2017
13,All-star MVP,2018
119,All-star MVP,2019
57,All-star MVP,2020
