player_id,name,dob,jersey_number,position,year_in_league,team_id
1,Dirk Nowitzki,6/19/78,41,PF,1998,7
2,Jason Kidd,3/23/73,2,PG,1994,7
3,Jason Terry,9/15/77,31,SG,1999,7
4,Caron Butler,3/13/80,4,SF,2002,7
5,Tyson Chandler,10/2/82,6,C,2001,7
6,Carmelo Anthony,5/29/84,15,SF,2003,8
7,Arron Afflalo,10/15/85,6,SG,2007,8
8,Chauncey Billups,9/25/76,1,PG,1997,8
9,Gary Forbes,2/25/85,0,SF,2010,8
10,Shelden Williams,10/21/83,23,PF,2006,8
11,Dwyane Wade,1/17/82,3,SG,2003,16
12,Chris Bosh,3/24/84,1,PF,2003,16
13,LeBron James,12/30/84,6,SF,2003,16
14,Carlos Arroyo,7/30/79,8,PG,2002,16
15,Zydrunas Ilgauskas,6/5/75,11,C,1998,16
16,DeShawn Stevenson,4/3/81,92,SG,2000,7
17,Andrew Bogut,11/28/84,6,C,2005,17
18,Brandon Jennings,9/23/89,3,PG,2009,17
19,John Salmons,12/12/79,15,SG,2002,17
20,Luc Mbah a Moute,9/9/86,12,PF,2008,17
21,Larry Sanders,11/21/88,8,C,2010,17
22,Mario Chalmers,5/19/86,15,PG,2008,16
23,Shane Battier,9/9/78,31,SF,2001,16
24,James Jones,10/4/80,22,SG,2003,16
25,Joel Anthony,8/9/82,50,C,2007,16
26,Joe Johnson,6/29/81,2,SG,2001,1
27,Jeff Teague,6/10/88,0,PG,2009,1
28,Josh Smith,12/5/85,5,PF,2004,1
29,Al Horford,6/3/86,15,C,2007,1
30,Marvin Williams,6/19/86,24,SF,2005,1
31,Jeremy Lin,8/23/88,17,PG,2010,20
32,Amar'e Stoudemire,11/16/82,1,PF,2002,20
33,Landry Fields,6/27/88,2,SG,2010,20
34,Ronny Turiaf,1/13/83,21,C,2005,16
35,Rudy Gay,8/17/86,22,SF,2006,15
36,Marc Gasol,1/29/85,33,C,2008,15
37,Mike Conley,10/11/87,11,PG,2007,15
38,Marreese Speights,8/4/87,5,PF,2008,15
39,Quincy Pondexter,3/10/88,20,SF,2010,15
40,Dion Waiters,12/10/91,3,SG,2012,6
41,Anderson Varejao,9/28/82,17,C,2004,6
42,Jeremy Pargo,3/17/86,8,PG,2011,6
43,Alonzo Gee,5/29/87,33,SF,2009,6
44,Tristan Thompson,3/13/91,13,PF,2011,6
45,Udonis Haslem,6/9/80,40,PF,2003,16
46,Nikola Vucevic,10/24/90,9,C,2011,22
47,DeQuan Jones,6/20/90,20,SF,2012,22
48,Andrew Nicholson,12/8/89,44,PF,2012,22
49,Ish Smith,7/5/88,10,PG,2010,22
50,Luol Deng,4/16/85,9,SF,2004,5
51,Jimmy Butler,9/14/89,21,SF,2011,5
